publish_date,url,title,source_domain,source_country,language,gdelt_tone,geography_basis
20251205,https://www.nikkei.com/article/DGXZQOKC0588J0V01C25A2000000/,阿部一二三 「 しっかり勝ち切る 」 柔道GS東京へ最終調整,nikkei.com,Japan,Japanese,,GDELT DOC sourcecountry
20251205,https://natalie.mu/music/pp/musicexpolive2025,Number _ i 、 BE : FIRST 、 ENHYPEN 、 HANAら12組が振り返る 「 MUSIC EXPO LIVE 2025 」 ,natalie.mu,Mauritius,Japanese,,GDELT DOC sourcecountry
20251205,https://www.sankei.com/article/20251205-O26ZE5T6WVKJTP34AFFOPNLM6U/, 「 日産スタジアム 」 命名権 、 契約額は味スタやパナスタの7割以下 見えない適正価格,sankei.com,Japan,Japanese,,GDELT DOC sourcecountry
20251205,https://purwasuka.viva.co.id/lifestyle/19269-obat-keriting-kuning-paling-ampuh-cabe-langsung-pulih-daun-subur-lagi-dalam-1-kali-pakai,"Obat Keriting Kuning Paling Ampuh ! Cabe Langsung Pulih , Daun Subur Lagi Dalam 1 Kali Pakai ! ",purwasuka.viva.co.id,Indonesia,Indonesian,,GDELT DOC sourcecountry
20251205,https://www.dailypolitical.com/2025/12/04/ajinomoto-otcmktsajiny-shares-gap-down-whats-next.html,Ajinomoto ( OTCMKTS : AJINY ) Shares Gap Down – What Next ? ,dailypolitical.com,United States,English,,GDELT DOC sourcecountry
20251204,https://www.cope.es/emisoras/region-de-murcia/murcia-provincia/noticias/sonia-carrion-nutricionista-truco-aceitunas-sean-literalmente-adictivas-podia-parar-comer-20251204_3265825.html,"Sonia Carrión , nutricionista :  Este es el truco que usan para que las aceitunas sean literalmente adictivas , no podía parar de comer  ",cope.es,Spain,Spanish,,GDELT DOC sourcecountry
20251204,https://www.readingeagle.com/2025/12/04/chongqing-chicken-recipe/,Gretchen table : Chongqing chicken gets a touch of fire in this recipe – Reading Eagle,readingeagle.com,United States,English,,GDELT DOC sourcecountry
20251204,https://www.delcotimes.com/2025/12/04/chongqing-chicken-recipe/,Gretchen table : Chongqing chicken gets a touch of fire in this recipe – Delco Times,delcotimes.com,United States,English,,GDELT DOC sourcecountry
20251204,https://www.timescall.com/2025/12/04/chongqing-chicken-recipe/,Gretchen table : Chongqing chicken gets a touch of fire in this recipe – Longmont Times - Call,timescall.com,United States,English,,GDELT DOC sourcecountry
20251204,https://www.pilotonline.com/2025/12/04/chongqing-chicken-recipe/,Gretchen table : Chongqing chicken gets a touch of fire in this recipe – The Virginian - Pilot,pilotonline.com,United States,English,,GDELT DOC sourcecountry
20251204,https://www.thetimes-tribune.com/2025/12/04/chongqing-chicken-recipe/,Gretchen table : Chongqing chicken gets a touch of fire in this recipe – Scranton Times - Tribune,thetimes-tribune.com,United States,English,,GDELT DOC sourcecountry
20251204,https://www.sun-sentinel.com/2025/12/04/chongqing-chicken-recipe/,Gretchen table : Chongqing chicken gets a touch of fire in this recipe – Sun Sentinel,sun-sentinel.com,United States,English,,GDELT DOC sourcecountry
20251204,https://www.morningjournal.com/2025/12/04/chongqing-chicken-recipe/,Gretchen table : Chongqing chicken gets a touch of fire in this recipe – Morning Journal,morningjournal.com,United States,English,,GDELT DOC sourcecountry
20251204,https://www.greeleytribune.com/2025/12/04/chongqing-chicken-recipe/,Gretchen table : Chongqing chicken gets a touch of fire in this recipe – Greeley Tribune,greeleytribune.com,United States,English,,GDELT DOC sourcecountry
20251204,https://www.macombdaily.com/2025/12/04/chongqing-chicken-recipe/,Gretchen table : Chongqing chicken gets a touch of fire in this recipe – Macomb Daily,macombdaily.com,United States,English,,GDELT DOC sourcecountry
20251204,https://www.reporterherald.com/2025/12/04/chongqing-chicken-recipe/,Gretchen table : Chongqing chicken gets a touch of fire in this recipe – Loveland Reporter - Herald,reporterherald.com,United States,English,,GDELT DOC sourcecountry
20251204,https://www.timesherald.com/2025/12/04/chongqing-chicken-recipe/,Gretchen table : Chongqing chicken gets a touch of fire in this recipe – The Times Herald,timesherald.com,United States,English,,GDELT DOC sourcecountry
20251203,https://news.livedoor.com/article/detail/30128644/, 【 二強状態続く 】 川口春奈 CM起用社数ランキングで3年連続1位に … 芦田愛菜が猛追 、 スポンサー受け  のポイントとは,news.livedoor.com,Japan,Japanese,,GDELT DOC sourcecountry
20251203,https://www.telegraphherald.com/news/features/article_95e6c631-4b4f-5dd1-ac10-7ba444278db8.html,Gretchen table : Chongqing chicken gets a touch of fire in this recipe,telegraphherald.com,United States,English,,GDELT DOC sourcecountry
20251202,https://thechronicle.com.gh/knust-professor-reveals-ghana-can-earn-over-12bn-from-cassava-products/,KNUST Professor Reveals : Ghana Can Earn Over $12bn From Cassava Products,thechronicle.com.gh,Ghana,English,,GDELT DOC sourcecountry
20251202,https://dcross.impress.co.jp/docs/column/column20251022/004392.html,日清製粉ウェルナ 、 冷凍食品400品目の需給を計画するAIシステムを開発,dcross.impress.co.jp,Japan,Japanese,,GDELT DOC sourcecountry
20251201,https://www.manilatimes.net/2025/12/01/tmt-newswire/pr-newswire/mixx-technologies-raises-33m-series-a-to-redefine-ai-infrastructure-through-full-stack-optical-integration/2234554,Mixx Technologies Raises $33M Series - A to Redefine AI Infrastructure through Full - Stack Optical Integration,manilatimes.net,Philippines,English,,GDELT DOC sourcecountry
20251201,https://www.vccircle.com/mixxtechnologies-finfactor-snag-early-stage-funding,"Mixx Technologies , Finfactor snag early - stage funding",vccircle.com,India,English,,GDELT DOC sourcecountry
